plant,signal,metric,device,device_type,device_uuid,device_parent,signal_uuid
Asomada,Idc_modul,,module1,module,d76f5faa-6ffa-40f7-b32e-73f90251fba8,inverter1,db49fac0-10eb-44db-8ae3-d8d42c86adc0
Asomada,Vdc_modul,,module1,module,d76f5faa-6ffa-40f7-b32e-73f90251fba8,inverter1,2cca02ab-dadb-4642-a15e-74b78705e142
Asomada,temperatura_mitjana_modul,,module1,module,d76f5faa-6ffa-40f7-b32e-73f90251fba8,inverter1,7b656129-a183-41e7-83e8-6b03e1f429d5
Asomada,Idc_modul,,module2,module,e891a7fb-0bb6-44a8-ab00-66f0f589c6e7,inverter1,592e8998-1f55-4599-bdd6-120b53f35e4a
Asomada,Vdc_modul,,module2,module,e891a7fb-0bb6-44a8-ab00-66f0f589c6e7,inverter1,a75dad83-ba01-4f44-9ca6-a83be8f5fce9
Asomada,temperatura_mitjana_modul,,module2,module,e891a7fb-0bb6-44a8-ab00-66f0f589c6e7,inverter1,47c2f1c1-3ce6-47af-a801-2ddef4d08a25
Asomada,Idc_modul,,module3,module,bec9ddd2-b218-41c5-9a4f-7399e76154a1,inverter1,d09f14b2-74e1-470e-8aa9-a4c7a27c35d7
Asomada,Vdc_modul,,module3,module,bec9ddd2-b218-41c5-9a4f-7399e76154a1,inverter1,0d45bc0e-a95c-44db-b2d6-bcd944702519
Asomada,temperatura_mitjana_modul,,module3,module,bec9ddd2-b218-41c5-9a4f-7399e76154a1,inverter1,d59ff51a-8f1b-4c7a-897f-7a18704c5748
Asomada,comunicacio_ok,,inverter1,inverter,fa28cd1b-d582-4162-b02f-c43eb8b94d23,,0a41d125-8c3c-4301-9a1f-8183a7533f20
Asomada,irradiacio_sonda_neta,,sensor1,sensor,7ff6f43b-1349-43ad-af5a-3952e1d7311d,,dcbf93aa-eff3-4277-bf76-6dbda10ecb8e
Asomada,irradiacio_sonda_bruta,irradiance,sensor1,sensor,7ff6f43b-1349-43ad-af5a-3952e1d7311d,,38c5b7be-fdd6-4e84-956e-cebd64f8e254
Asomada,irradiacio_mitja,,sensor1,sensor,7ff6f43b-1349-43ad-af5a-3952e1d7311d,,ab8a48f9-faee-4e78-9121-c4f82a546047
Asomada,temperatura_ambient,,sensor1,sensor,7ff6f43b-1349-43ad-af5a-3952e1d7311d,,aeba40db-5646-48fb-aba1-624dcba18233
Asomada,temperatura_panell,,sensor1,sensor,7ff6f43b-1349-43ad-af5a-3952e1d7311d,,e894d976-5377-4503-8362-a4ec4b55876a
Asomada,comunicacio ok,,sensor1,sensor,7ff6f43b-1349-43ad-af5a-3952e1d7311d,,48bdb569-329b-4f8b-b774-be963cb717f2
