plant_id,plant,notification_topic
1,"Alcolea",nrgs
3,"Fontivsolar",rcm
6,"Florida",nrgs
7,"Matallana",nrgs
11,"Valteina",nrgtc
22,"Llanillos",xm
40,"Asomada",xm
